"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
4,4,4,4,2,1,0.666666666666667,0.333333333333333,0.375,0.9375,0.59375,0.546875,"; ; 0.78125 % of all edit distance cells or 16 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,4,2,2,0.666666666666667,0.333333333333333,0.6875,0.8125,0.59375,0.578125,"; ; 1.22070312 % of all edit distance cells or 25 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,4,2,3,0.666666666666667,0.333333333333333,1,0.5,0.515625,0.515625,"; ; 0.63476562 % of all edit distance cells or 13 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,4,2,4,0.666666666666667,0.333333333333333,0.625,0.625,0.640625,0.578125,"; ; 1.22070312 % of all edit distance cells or 25 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,4,2,5,0.666666666666667,0.333333333333333,0.625,0.9375,0.640625,0.640625,"; ; 0.9765625 % of all edit distance cells or 20 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,4,2,6,0.666666666666667,0.333333333333333,0.6875,1,0.703125,0.765625,"; ; 0.63476562 % of all edit distance cells or 13 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,4,2,7,0.666666666666667,0.333333333333333,0.5625,0.8125,0.65625,0.53125,"; ; 0.5859375 % of all edit distance cells or 12 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,4,2,8,0.666666666666667,0.333333333333333,0.8125,0.75,0.515625,0.6875,"; ; 0.83007812 % of all edit distance cells or 17 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,4,2,9,0.666666666666667,0.333333333333333,0.75,0.875,0.703125,0.8125,"; ; 0.78125 % of all edit distance cells or 16 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
4,4,4,4,2,10,0.666666666666667,0.333333333333333,0.875,1,0.484375,0.640625,"; ; 0.48828125 % of all edit distance cells or 10 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
